Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9042337344,2019-10-18 01:03:22,2019-10-17 17:59:00,Yulee,Florida,904,Other,Y
2569875489,2019-10-18 01:04:43,2019-10-15 12:01:00,,Illinois,630,Dropped call or no message,N
9736452404,2019-10-18 01:05:56,2019-10-17 11:08:00,Elmhurst,New York,917,Other,Y
9736452404,2019-10-18 01:06:01,2019-10-17 11:08:00,Elmhurst,New York,917,Other,Y
7472610048,2019-10-18 01:06:10,2019-10-17 18:46:00,Fullerton,California,714,No Subject Provided,N
8557360015,2019-10-18 01:06:51,2019-10-17 13:46:00,,Indiana,260,Computer  & technical support,Y
9362741697,2019-10-18 01:06:55,2019-10-16 00:00:00,Daly City,California,650,No Subject Provided,Y
3607183792,2019-10-18 01:10:23,2019-10-17 13:31:00,Auburn,Washington,253,No Subject Provided,Y
4109345186,2019-10-18 01:11:46,2019-10-17 15:31:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
3608570872,2019-10-18 01:15:21,2019-10-17 12:52:00,Auburn,Washington,253,No Subject Provided,Y
8006927753,2019-10-18 01:16:44,2019-10-17 16:15:00,,New Jersey,201,No Subject Provided,Y
3607183792,2019-10-18 01:17:19,2019-10-17 10:53:00,Auburn,Washington,253,No Subject Provided,Y
2013507909,2019-10-18 01:19:02,2019-10-17 16:13:00,,New Jersey,201,No Subject Provided,N
2109854175,2019-10-18 01:21:12,2019-10-17 23:15:00,POCATELLO,Idaho,208,No Subject Provided,Y
7866685858,2019-10-18 01:21:35,2019-10-17 15:44:00,,Florida,305,No Subject Provided,Y
8003039609,2019-10-18 01:28:27,2019-10-16 19:18:00,,New Jersey,201,No Subject Provided,N
8003039609,2019-10-18 01:31:11,2019-10-16 19:18:00,,New Jersey,201,No Subject Provided,Y
3036192493,2019-10-18 01:32:21,2019-10-17 10:33:00,,Colorado,303,Warranties  & protection plans,Y
2817191637,2019-10-18 01:34:00,2019-10-15 14:05:00,,Texas,325,No Subject Provided,Y
6237386525,2019-10-18 01:34:37,2019-10-17 10:58:00,Peoria,Arizona,623,Warranties  & protection plans,Y
3252602341,2019-10-18 01:35:49,2019-10-13 11:00:00,,Texas,325,No Subject Provided,Y
6304071576,2019-10-18 01:36:05,2019-09-19 12:05:00,Glenview,Illinois,847,Dropped call or no message,Y
8888276592,2019-10-18 01:36:17,2019-10-17 13:42:00,,California,650,Dropped call or no message,Y
2812664412,2019-10-18 01:37:05,2019-10-12 13:38:00,,Texas,325,No Subject Provided,Y
6182133098,2019-10-18 01:37:12,2019-09-18 20:21:00,Glenview,Illinois,847,Dropped call or no message,Y
8782250315,2019-10-18 01:37:16,2019-10-16 12:20:00,Star Valley,Arizona,928,Medical  & prescriptions,Y
8186631613,2019-10-18 01:37:30,2019-10-17 10:18:00,,California,661,Home improvement  & cleaning,Y
5109012378,2019-10-18 01:37:55,2019-10-16 15:45:00,springville,Utah,801,"Reducing your debt (credit cards, mortgage, student loans)",Y
3036562117,2019-10-18 01:38:06,2019-10-17 14:50:00,,Colorado,303,No Subject Provided,Y
4842200928,2019-10-18 01:38:19,2019-10-18 01:28:00,Allentown,Pennsylvania,484,Other,Y
3616986190,2019-10-18 01:38:23,2019-10-08 15:29:00,,Texas,325,No Subject Provided,Y
112175964181,2019-10-18 01:38:23,2019-09-18 17:45:00,Glenview,Illinois,847,Dropped call or no message,Y
4695854233,2019-10-18 01:39:38,2019-10-08 08:45:00,,Texas,325,No Subject Provided,Y
6097702286,2019-10-18 01:40:00,2019-10-17 10:42:00,,New Jersey,973,No Subject Provided,Y
8474864856,2019-10-18 01:40:15,2019-09-18 16:37:00,Glenview,Illinois,847,Dropped call or no message,Y
8019058924,2019-10-18 01:40:44,2019-10-15 12:11:00,springville,Utah,801,Other,Y
6182133098,2019-10-18 01:41:06,2019-10-03 17:01:00,Glenview,Illinois,847,Dropped call or no message,Y
7203075962,2019-10-18 01:41:12,2019-10-17 20:39:00,,Colorado,303,No Subject Provided,Y
9735791838,2019-10-18 01:41:42,2019-10-17 11:49:00,,New Jersey,973,No Subject Provided,Y
4695854233,2019-10-18 01:41:44,2019-10-08 12:45:00,,Texas,325,No Subject Provided,Y
7203075962,2019-10-18 01:41:54,2019-10-17 19:51:00,,Colorado,303,No Subject Provided,Y
3127788998,2019-10-18 01:42:01,2019-10-03 16:40:00,Glenview,Illinois,847,Dropped call or no message,Y
2538628296,2019-10-18 01:42:05,2019-10-17 15:58:00,AUSTIN,Texas,512,No Subject Provided,Y
7122156601,2019-10-18 01:42:31,2019-10-16 13:52:00,springville,Utah,801,Other,Y
7203075962,2019-10-18 01:42:32,2019-10-17 17:59:00,,Colorado,303,No Subject Provided,Y
2175694018,2019-10-18 01:42:54,2019-10-03 12:40:00,Glenview,Illinois,847,Dropped call or no message,Y
8888366351,2019-10-18 01:42:56,2019-10-08 18:01:00,,Texas,325,No Subject Provided,Y
7203075962,2019-10-18 01:42:59,2019-10-17 17:50:00,,Colorado,303,No Subject Provided,Y
4046589181,2019-10-18 01:43:07,2019-10-17 09:14:00,,California,650,No Subject Provided,Y
2136893773,2019-10-18 01:43:09,2019-10-17 14:05:00,Venice,California,213,Other,Y
9738199114,2019-10-18 01:43:28,2019-10-17 13:06:00,,New Jersey,973,No Subject Provided,Y
7203075962,2019-10-18 01:43:33,2019-10-17 16:16:00,,Colorado,303,No Subject Provided,Y
8563937207,2019-10-18 01:43:53,2019-10-17 16:13:00,Phoenix,Arizona,520,"Calls pretending to be government, businesses, or family and friends",N
